index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00129861,-85,-0.0940859,-29,-0.0340613,117,0.146933
1,10,1,0.00259721,-84,-0.0928589,-33,-0.0389693,120,0.150614
2,10,2,0.00389582,-80,-0.0879509,-33,-0.0389693,120,0.150614
3,10,3,0.00519442,-79,-0.0867239,-27,-0.0316074,125,0.156748
4,10,4,0.00649303,-78,-0.0854969,-24,-0.0279264,129,0.161656
5,10,5,0.00779164,-76,-0.0830429,-16,-0.0181104,132,0.165337
6,10,6,0.00909024,-70,-0.075681,-21,-0.0242454,130,0.162883
7,10,7,0.0103888,-67,-0.072,-26,-0.0303804,136,0.170245
8,11,0,0.0116875,-63,-0.067092,-28,-0.0328344,138,0.172699
9,11,1,0.0129861,-65,-0.069546,-23,-0.0266994,142,0.177607
10,11,2,0.0142847,-59,-0.0621841,-23,-0.0266994,143,0.178834
11,11,3,0.0155833,-60,-0.063411,-23,-0.0266994,150,0.187423
12,11,4,0.0168819,-59,-0.0621841,-26,-0.0303804,151,0.18865
13,11,5,0.0181805,-54,-0.0560491,-17,-0.0193374,151,0.18865
14,11,6,0.0194791,-51,-0.0523681,-13,-0.0144294,159,0.198466
15,11,7,0.0207777,-49,-0.0499141,-14,-0.0156564,163,0.203374
16,12,0,0.0220763,-42,-0.0413252,-10,-0.0107485,165,0.205828
17,12,1,0.0233749,-37,-0.0351902,-10,-0.0107485,173,0.215644
18,12,2,0.0246735,-28,-0.0241472,-2,-0.000932515,171,0.21319
19,12,3,0.0259721,-18,-0.0118773,3,0.00520245,178,0.221779
20,12,4,0.0272707,-12,-0.00451534,9,0.0125644,182,0.226687
21,12,5,0.0285693,-9,-0.000834356,12,0.0162454,197,0.245092
22,12,6,0.0298679,0,0.0102086,10,0.0137914,203,0.252454
23,12,7,0.0311665,10,0.0224785,11,0.0150184,214,0.265951
24,13,0,0.0324652,15,0.0286135,11,0.0150184,221,0.27454
25,13,1,0.0337638,29,0.0457914,14,0.0186994,223,0.276994
26,13,2,0.0350624,39,0.0580614,21,0.0272883,222,0.275767
27,13,3,0.036361,50,0.0715583,22,0.0285153,220,0.273313
28,13,4,0.0376596,51,0.0727853,24,0.0309693,219,0.272086
29,13,5,0.0389582,63,0.0875092,22,0.0285153,219,0.272086
30,13,6,0.0402568,73,0.0997791,26,0.0334233,224,0.278221
31,14,0,0.0415554,72,0.0985521,26,0.0334233,228,0.283129
32,14,1,0.042854,67,0.0924172,32,0.0407853,218,0.270859
33,14,2,0.0441526,64,0.0887362,42,0.0530552,212,0.263497
34,14,3,0.0454512,68,0.0936442,49,0.0616442,211,0.26227
35,14,4,0.0467498,68,0.0936442,50,0.0628712,209,0.259816
36,14,5,0.0480484,60,0.0838282,54,0.0677791,207,0.257362
37,14,6,0.049347,58,0.0813742,51,0.0640982,201,0.25
38,14,7,0.0506456,59,0.0826012,57,0.0714601,192,0.238957
39,15,0,0.0519442,67,0.0924172,62,0.0775951,184,0.229141
40,15,1,0.0532428,67,0.0924172,69,0.086184,178,0.221779
41,15,2,0.0545415,60,0.0838282,68,0.0849571,174,0.216871
42,15,3,0.0558401,60,0.0838282,69,0.086184,169,0.210736
43,15,4,0.0571387,58,0.0813742,70,0.087411,163,0.203374
44,15,5,0.0584373,57,0.0801472,70,0.087411,156,0.194785
45,15,6,0.0597359,58,0.0813742,73,0.091092,150,0.187423
46,15,7,0.0610345,56,0.0789202,72,0.089865,150,0.187423
47,16,0,0.0623331,53,0.0752393,70,0.087411,152,0.189877
48,16,1,0.0636317,59,0.0826012,75,0.093546,150,0.187423
49,16,2,0.0649303,52,0.0740123,75,0.093546,148,0.184969
50,16,3,0.0662289,55,0.0776933,78,0.097227,133,0.166564
51,16,4,0.0675275,57,0.0801472,81,0.100908,120,0.150614
52,16,5,0.0688261,50,0.0715583,82,0.102135,112,0.140798
53,16,6,0.0701247,44,0.0641963,82,0.102135,95,0.119939
54,16,7,0.0714233,36,0.0543804,79,0.098454,88,0.11135
55,17,0,0.0727219,20,0.0347485,70,0.087411,62,0.0794479
56,17,1,0.0740205,8,0.0200245,53,0.0665521,44,0.057362
57,17,2,0.0753191,-8,0.000392638,41,0.0518282,18,0.0254601
58,17,3,0.0766178,-20,-0.0143313,34,0.0432393,3,0.00705521
59,17,4,0.0779164,-26,-0.0216933,26,0.0334233,-10,-0.00889571
60,17,5,0.079215,-25,-0.0204663,23,0.0297423,-11,-0.0101227
61,17,6,0.0805136,-17,-0.0106503,24,0.0309693,-10,-0.00889571
62,18,0,0.0818122,-10,-0.00206135,25,0.0321963,-4,-0.00153374
63,18,1,0.0831108,-8,0.000392638,28,0.0358773,-2,0.000920245
64,18,2,0.0844094,-8,0.000392638,25,0.0321963,1,0.00460123
65,18,3,0.085708,-9,-0.000834356,25,0.0321963,7,0.0119632
66,18,4,0.0870066,-12,-0.00451534,29,0.0371043,7,0.0119632
67,18,5,0.0883052,-10,-0.00206135,33,0.0420123,3,0.00705521
68,18,6,0.0896038,-5,0.00407362,35,0.0444663,7,0.0119632
69,18,7,0.0909024,-5,0.00407362,33,0.0420123,2,0.00582822
70,19,0,0.092201,-11,-0.00328834,27,0.0346503,-3,-0.000306748
71,19,1,0.0934996,0,0.0102086,25,0.0321963,-8,-0.00644172
72,19,2,0.0947982,8,0.0200245,28,0.0358773,-9,-0.00766871
73,19,3,0.0960968,7,0.0187975,32,0.0407853,0,0.00337423
74,19,4,0.0973955,0,0.0102086,25,0.0321963,0,0.00337423
75,19,5,0.0986941,-1,0.00898159,30,0.0383313,-4,-0.00153374
76,19,6,0.0999927,0,0.0102086,26,0.0334233,-7,-0.00521472
77,19,7,0.101291,-1,0.00898159,27,0.0346503,-9,-0.00766871
78,20,0,0.10259,-1,0.00898159,26,0.0334233,-4,-0.00153374
79,20,1,0.103888,3,0.0138896,25,0.0321963,-5,-0.00276074
80,20,2,0.105187,3,0.0138896,23,0.0297423,-10,-0.00889571
81,20,3,0.106486,-3,0.00652761,15,0.0199264,-9,-0.00766871
82,20,4,0.107784,-4,0.00530061,15,0.0199264,-11,-0.0101227
83,20,5,0.109083,-7,0.00161963,16,0.0211534,-5,-0.00276074
84,20,6,0.110382,0,0.0102086,14,0.0186994,3,0.00705521
85,21,0,0.11168,-3,0.00652761,10,0.0137914,3,0.00705521
86,21,1,0.112979,7,0.0187975,12,0.0162454,-1,0.00214724
87,21,2,0.114277,9,0.0212515,12,0.0162454,-1,0.00214724
88,21,3,0.115576,5,0.0163436,10,0.0137914,0,0.00337423
89,21,4,0.116875,3,0.0138896,9,0.0125644,1,0.00460123
90,21,5,0.118173,0,0.0102086,8,0.0113374,-6,-0.00398773
91,21,6,0.119472,-1,0.00898159,5,0.00765644,-3,-0.000306748
92,21,7,0.12077,-3,0.00652761,7,0.0101104,0,0.00337423
93,22,0,0.122069,-8,0.000392638,8,0.0113374,-4,-0.00153374
94,22,1,0.123368,-8,0.000392638,8,0.0113374,-6,-0.00398773
95,22,2,0.124666,-12,-0.00451534,7,0.0101104,-9,-0.00766871
