index, frame, sample, time, raw[0], cal[0]
0,19,0,0.00124269,2129,0.0442927
1,19,1,0.00248538,2129,0.0442927
2,19,2,0.00372807,2129,0.0442927
3,19,3,0.00497076,2129,0.0442927
4,19,4,0.00621345,2129,0.0442927
5,19,5,0.00745614,2129,0.0442927
6,19,6,0.00869883,2128,0.0530462
7,19,7,0.00994152,2129,0.0442927
8,19,8,0.0111842,2128,0.0530462
9,19,9,0.0124269,2129,0.0442927
10,19,10,0.0136696,2128,0.0530462
11,19,11,0.0149123,2128,0.0530462
12,20,0,0.016155,2129,0.0442927
13,20,1,0.0173977,2129,0.0442927
14,20,2,0.0186404,2129,0.0442927
15,20,3,0.019883,2129,0.0442927
16,20,4,0.0211257,2129,0.0442927
17,20,5,0.0223684,2129,0.0442927
18,20,6,0.0236111,2128,0.0530462
19,20,7,0.0248538,2129,0.0442927
20,20,8,0.0260965,2128,0.0530462
21,20,9,0.0273392,2129,0.0442927
22,20,10,0.0285819,2128,0.0530462
23,20,11,0.0298246,2128,0.0530462
24,21,0,0.0310673,2130,0.0355392
25,21,1,0.0323099,2130,0.0355392
26,21,2,0.0335526,2130,0.0355392
27,21,3,0.0347953,2130,0.0355392
28,21,4,0.036038,2130,0.0355392
29,21,5,0.0372807,2130,0.0355392
30,21,6,0.0385234,2130,0.0355392
31,21,7,0.0397661,2130,0.0355392
32,22,0,0.0410088,2129,0.0442927
33,22,1,0.0422515,2130,0.0355392
34,22,2,0.0434942,2129,0.0442927
35,22,3,0.0447368,2130,0.0355392
36,22,4,0.0459795,2129,0.0442927
37,22,5,0.0472222,2129,0.0442927
38,22,6,0.0484649,2129,0.0442927
39,22,7,0.0497076,2130,0.0355392
40,23,0,0.0509503,2129,0.0442927
41,23,1,0.052193,2130,0.0355392
42,23,2,0.0534357,2129,0.0442927
43,23,3,0.0546784,2130,0.0355392
44,23,4,0.0559211,2130,0.0355392
45,23,5,0.0571637,2130,0.0355392
46,23,6,0.0584064,2130,0.0355392
47,23,7,0.0596491,2131,0.0267857
48,24,0,0.0608918,2130,0.0355392
49,24,1,0.0621345,2131,0.0267857
50,24,2,0.0633772,2130,0.0355392
51,24,3,0.0646199,2131,0.0267857
52,24,4,0.0658626,2131,0.0267857
53,24,5,0.0671053,2132,0.0180322
54,24,6,0.068348,2132,0.0180322
