index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00125137,2135,-0.00822831
1,10,1,0.00250273,2136,-0.0169818
2,10,2,0.0037541,2135,-0.00822831
3,10,3,0.00500546,2136,-0.0169818
4,10,4,0.00625683,2135,-0.00822831
5,10,5,0.0075082,2136,-0.0169818
6,11,0,0.00875956,2135,-0.00822831
7,11,1,0.0100109,2135,-0.00822831
8,11,2,0.0112623,2135,-0.00822831
9,11,3,0.0125137,2135,-0.00822831
10,11,4,0.013765,2136,-0.0169818
11,11,5,0.0150164,2136,-0.0169818
12,11,6,0.0162678,2135,-0.00822831
13,11,7,0.0175191,2136,-0.0169818
14,12,0,0.0187705,2135,-0.00822831
15,12,1,0.0200219,2136,-0.0169818
16,12,2,0.0212732,2136,-0.0169818
17,12,3,0.0225246,2137,-0.0257353
18,12,4,0.023776,2136,-0.0169818
19,12,5,0.0250273,2136,-0.0169818
20,12,6,0.0262787,2136,-0.0169818
21,12,7,0.0275301,2136,-0.0169818
22,13,0,0.0287814,2136,-0.0169818
23,13,1,0.0300328,2137,-0.0257353
24,13,2,0.0312842,2137,-0.0257353
25,13,3,0.0325355,2137,-0.0257353
26,13,4,0.0337869,2136,-0.0169818
27,13,5,0.0350383,2137,-0.0257353
28,13,6,0.0362896,2137,-0.0257353
29,13,7,0.037541,2137,-0.0257353
30,14,0,0.0387923,2136,-0.0169818
31,14,1,0.0400437,2137,-0.0257353
32,14,2,0.0412951,2137,-0.0257353
33,14,3,0.0425464,2137,-0.0257353
34,14,4,0.0437978,2136,-0.0169818
35,14,5,0.0450492,2137,-0.0257353
36,14,6,0.0463005,2137,-0.0257353
37,14,7,0.0475519,2137,-0.0257353
38,15,0,0.0488033,2137,-0.0257353
39,15,1,0.0500546,2137,-0.0257353
40,15,2,0.051306,2137,-0.0257353
41,15,3,0.0525574,2137,-0.0257353
42,15,4,0.0538087,2136,-0.0169818
43,15,5,0.0550601,2137,-0.0257353
44,15,6,0.0563115,2136,-0.0169818
45,15,7,0.0575628,2136,-0.0169818
46,16,0,0.0588142,2136,-0.0169818
47,16,1,0.0600656,2136,-0.0169818
48,16,2,0.0613169,2136,-0.0169818
49,16,3,0.0625683,2136,-0.0169818
50,16,4,0.0638197,2136,-0.0169818
51,16,5,0.065071,2136,-0.0169818
52,16,6,0.0663224,2136,-0.0169818
53,16,7,0.0675738,2136,-0.0169818
54,17,0,0.0688251,2136,-0.0169818
55,17,1,0.0700765,2136,-0.0169818
56,17,2,0.0713279,2135,-0.00822831
57,17,3,0.0725792,2136,-0.0169818
58,17,4,0.0738306,2135,-0.00822831
59,17,5,0.075082,2135,-0.00822831
60,17,6,0.0763333,2135,-0.00822831
61,17,7,0.0775847,2135,-0.00822831
62,18,0,0.0788361,2135,-0.00822831
63,18,1,0.0800874,2135,-0.00822831
64,18,2,0.0813388,2134,0.000525189
65,18,3,0.0825902,2135,-0.00822831
66,18,4,0.0838415,2134,0.000525189
67,18,5,0.0850929,2135,-0.00822831
68,18,6,0.0863443,2135,-0.00822831
69,18,7,0.0875956,2135,-0.00822831
70,19,0,0.088847,2135,-0.00822831
71,19,1,0.0900984,2135,-0.00822831
72,19,2,0.0913497,2134,0.000525189
73,19,3,0.0926011,2135,-0.00822831
74,19,4,0.0938525,2135,-0.00822831
75,19,5,0.0951038,2135,-0.00822831
76,19,6,0.0963552,2135,-0.00822831
77,19,7,0.0976066,2135,-0.00822831
78,20,0,0.0988579,2134,0.000525189
79,20,1,0.100109,2135,-0.00822831
80,20,2,0.101361,2135,-0.00822831
81,20,3,0.102612,2135,-0.00822831
82,20,4,0.103863,2135,-0.00822831
83,20,5,0.105115,2135,-0.00822831
84,20,6,0.106366,2135,-0.00822831
