index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00125097,-40,0.0100141,-184,-0.0889446,8076,9.73515
1,10,1,0.00250194,-28,0.0241849,-216,-0.127298,8148,9.82288
2,10,2,0.00375291,-40,0.0100141,-236,-0.151269,8136,9.80826
3,10,3,0.00500389,-48,0.000566833,-240,-0.156063,8220,9.91061
4,10,4,0.00625486,-48,0.000566833,-240,-0.156063,8132,9.80338
5,10,5,0.00750583,-64,-0.0183276,-196,-0.103327,8136,9.80826
6,10,6,0.0087568,-40,0.0100141,-196,-0.103327,8144,9.81801
7,10,7,0.0100078,-32,0.0194613,-232,-0.146475,8172,9.85212
8,10,8,0.0112587,-28,0.0241849,-240,-0.156063,8160,9.8375
9,10,9,0.0125097,-24,0.0289085,-184,-0.0889446,8224,9.91549
10,10,10,0.0137607,-88,-0.0466693,-176,-0.0793561,8216,9.90574
11,10,11,0.0150117,-40,0.0100141,-232,-0.146475,8140,9.81313
12,11,0,0.0162626,-40,0.0100141,-184,-0.0889446,8076,9.73515
13,11,1,0.0175136,-28,0.0241849,-216,-0.127298,8148,9.82288
14,11,2,0.0187646,-40,0.0100141,-236,-0.151269,8136,9.80826
15,11,3,0.0200155,-48,0.000566833,-240,-0.156063,8220,9.91061
16,11,4,0.0212665,-48,0.000566833,-240,-0.156063,8132,9.80338
17,11,5,0.0225175,-64,-0.0183276,-196,-0.103327,8136,9.80826
18,11,6,0.0237685,-40,0.0100141,-196,-0.103327,8144,9.81801
19,11,7,0.0250194,-32,0.0194613,-232,-0.146475,8172,9.85212
20,11,8,0.0262704,-28,0.0241849,-240,-0.156063,8160,9.8375
21,11,9,0.0275214,-24,0.0289085,-184,-0.0889446,8224,9.91549
22,11,10,0.0287723,-88,-0.0466693,-176,-0.0793561,8216,9.90574
23,11,11,0.0300233,-40,0.0100141,-232,-0.146475,8140,9.81313
24,12,0,0.0312743,-32,0.0194613,-168,-0.0697677,8096,9.75952
25,12,1,0.0325253,-12,0.0430793,-196,-0.103327,8148,9.82288
26,13,0,0.0337762,-28,0.0241849,-212,-0.122504,8172,9.85212
27,13,1,0.0350272,-48,0.000566833,-184,-0.0889446,8124,9.79364
28,13,2,0.0362782,-16,0.0383557,-176,-0.0793561,8088,9.74977
29,13,3,0.0375291,-48,0.000566833,-216,-0.127298,8136,9.80826
30,13,4,0.0387801,-44,0.00529044,-212,-0.122504,8144,9.81801
31,13,5,0.0400311,-32,0.0194613,-184,-0.0889446,8124,9.79364
32,13,6,0.0412821,-56,-0.00888039,-160,-0.0601793,8156,9.83263
33,13,7,0.042533,-80,-0.037222,-204,-0.112916,8144,9.81801
34,14,0,0.043784,-40,0.0100141,-188,-0.0937388,8104,9.76927
35,14,1,0.045035,-64,-0.0183276,-168,-0.0697677,8152,9.82775
36,14,2,0.0462859,-48,0.000566833,-192,-0.098533,8144,9.81801
37,14,3,0.0475369,-40,0.0100141,-180,-0.0841503,8112,9.77902
38,14,4,0.0487879,-64,-0.0183276,-184,-0.0889446,8144,9.81801
39,14,5,0.0500389,-64,-0.0183276,-196,-0.103327,8104,9.76927
40,14,6,0.0512898,-56,-0.00888039,-224,-0.136887,8128,9.79851
41,14,7,0.0525408,-40,0.0100141,-184,-0.0889446,8104,9.76927
42,15,0,0.0537918,-24,0.0289085,-188,-0.0937388,8196,9.88137
43,15,1,0.0550427,-16,0.0383557,-212,-0.122504,8080,9.74002
44,15,2,0.0562937,-56,-0.00888039,-216,-0.127298,8144,9.81801
45,15,3,0.0575447,-36,0.0147377,-196,-0.103327,8164,9.84238
46,15,4,0.0587956,-44,0.00529044,-176,-0.0793561,8164,9.84238
47,15,5,0.0600466,-72,-0.0277748,-212,-0.122504,8120,9.78876
48,15,6,0.0612976,-40,0.0100141,-184,-0.0889446,8120,9.78876
49,15,7,0.0625486,-4,0.0525265,-200,-0.108121,8144,9.81801
50,16,0,0.0637995,-40,0.0100141,-184,-0.0889446,8156,9.83263
51,16,1,0.0650505,-64,-0.0183276,-180,-0.0841503,8136,9.80826
52,16,2,0.0663015,-72,-0.0277748,-184,-0.0889446,8176,9.857
53,16,3,0.0675524,-20,0.0336321,-196,-0.103327,8172,9.85212
54,16,4,0.0688034,-56,-0.00888039,-204,-0.112916,8184,9.86675
55,16,5,0.0700544,-80,-0.037222,-204,-0.112916,8164,9.84238
56,16,6,0.0713054,-24,0.0289085,-196,-0.103327,8128,9.79851
57,16,7,0.0725563,-48,0.000566833,-168,-0.0697677,8164,9.84238
58,17,0,0.0738073,-96,-0.0561165,-208,-0.11771,8208,9.89599
59,17,1,0.0750583,-56,-0.00888039,-196,-0.103327,8156,9.83263
60,17,2,0.0763092,-12,0.0430793,-204,-0.112916,8152,9.82775
61,17,3,0.0775602,-16,0.0383557,-212,-0.122504,8128,9.79851
62,17,4,0.0788112,-64,-0.0183276,-208,-0.11771,8156,9.83263
63,17,5,0.0800622,-28,0.0241849,-160,-0.0601793,8148,9.82288
64,17,6,0.0813131,-28,0.0241849,-212,-0.122504,8152,9.82775
65,17,7,0.0825641,-24,0.0289085,-208,-0.11771,8172,9.85212
66,18,0,0.0838151,-32,0.0194613,-196,-0.103327,8172,9.85212
67,18,1,0.085066,-72,-0.0277748,-200,-0.108121,8144,9.81801
68,18,2,0.086317,-56,-0.00888039,-188,-0.0937388,8148,9.82288
69,18,3,0.087568,-32,0.0194613,-208,-0.11771,8156,9.83263
70,18,4,0.088819,-12,0.0430793,-208,-0.11771,8140,9.81313
71,18,5,0.0900699,-40,0.0100141,-196,-0.103327,8148,9.82288
72,18,6,0.0913209,-56,-0.00888039,-196,-0.103327,8156,9.83263
73,18,7,0.0925719,-40,0.0100141,-212,-0.122504,8140,9.81313
74,19,0,0.0938228,-32,0.0194613,-184,-0.0889446,8148,9.82288
75,19,1,0.0950738,-80,-0.037222,-224,-0.136887,8192,9.87649
76,19,2,0.0963248,-24,0.0289085,-196,-0.103327,8148,9.82288
77,19,3,0.0975758,-16,0.0383557,-196,-0.103327,8128,9.79851
78,19,4,0.0988267,-36,0.0147377,-184,-0.0889446,8124,9.79364
79,19,5,0.100078,-28,0.0241849,-168,-0.0697677,8148,9.82288
80,19,6,0.101329,-36,0.0147377,-188,-0.0937388,8136,9.80826
81,19,7,0.10258,-40,0.0100141,-192,-0.098533,8188,9.87162
82,20,0,0.103831,-32,0.0194613,-192,-0.098533,8148,9.82288
83,20,1,0.105082,-40,0.0100141,-216,-0.127298,8124,9.79364
84,20,2,0.106333,-56,-0.00888039,-224,-0.136887,8112,9.77902
85,20,3,0.107584,12,0.071421,-188,-0.0937388,8144,9.81801
86,20,4,0.108834,-56,-0.00888039,-216,-0.127298,8156,9.83263
87,20,5,0.110085,-64,-0.0183276,-216,-0.127298,8156,9.83263
