index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,13,0,0.00978339,0,0,0,0,0,0
1,13,1,0.0195668,0,0,0,0,0,0
2,13,2,0.0293502,0,0,0,0,0,-0.113975
3,13,3,0.0391336,0,0,0,0,0,-0.284937
4,14,0,0.048917,0,0,0,0,0,-0.417908
5,14,1,0.0587004,0,0,0,0,0,-0.512887
6,14,2,0.0684838,0,0,0,0,0,-0.569875
7,14,3,0.0782671,0,-0.0002,0,-0.0204428,0,-0.474896
8,15,0,0.0880505,0,-0.0006,0,-0.0408856,0,-0.284937
9,16,0,0.0978339,-1,-0.001,-1,-0.0408856,-1,-0.0949792
10,17,0,0.107617,-2,-0.0014,-1,-0.0408856,0,0.0949792
11,18,0,0.117401,-2,-0.0018,0,-0.0408856,1,0.284937
12,19,0,0.127184,-2,-0.002,0,-0.0204428,0,0.474896
13,20,0,0.136968,-2,-0.002,0,0,0,0.550879
14,21,0,0.146751,-2,-0.002,0,0,0,0.493892
15,22,0,0.156534,-2,-0.002,0,0,0,0.398912
16,23,0,0.166318,-2,-0.002,0,0,0,0.265942
17,24,0,0.176101,-2,-0.002,0,0,0,0.0949792
18,25,0,0.185884,-2,-0.002,0,0,0,0
19,26,0,0.195668,-2,-0.002,0,0,0,0
20,27,0,0.205451,-2,-0.002,0,0,0,0
21,28,0,0.215235,-2,-0.002,0,0,0,0
22,29,0,0.225018,-2,-0.002,0,0,0,0
23,30,0,0.234801,-2,-0.002,0,0,0,0
24,31,0,0.244585,-2,-0.002,0,0,0,0
25,32,0,0.254368,-2,-0.002,0,0,0,0
26,33,0,0.264152,-2,-0.002,0,0,0,0
27,34,0,0.273935,-2,-0.002,0,0,0,0
28,35,0,0.283718,-2,-0.002,0,0,0,0
29,36,0,0.293502,-2,-0.002,0,0,0,0
30,37,0,0.303285,-2,-0.002,0,0,0,0
31,38,0,0.313069,-2,-0.002,0,0,0,0
32,39,0,0.322852,-2,-0.002,0,0,0,0
33,40,0,0.332635,-2,-0.002,0,0,0,0
34,41,0,0.342419,-2,-0.002,0,0,0,0
35,42,0,0.352202,-2,-0.002,0,0,0,0
36,43,0,0.361986,-2,-0.002,0,0,0,0
37,44,0,0.371769,-2,-0.002,0,0,0,0
38,45,0,0.381552,-2,-0.002,0,0,0,0
39,46,0,0.391336,-2,-0.002,0,0,0,0
40,47,0,0.401119,-2,-0.002,0,0,0,0
41,49,0,0.410903,-2,-0.002,0,0,0,0
42,50,0,0.420686,-2,-0.002,0,0,0,0
43,51,0,0.430469,-2,-0.002,0,0,0,0
