index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00125,2141,-0.0607493
1,10,1,0.0025,2141,-0.0607493
2,10,2,0.00375,2141,-0.0607493
3,10,3,0.005,2141,-0.0607493
4,10,4,0.00625,2141,-0.0607493
5,10,5,0.0075,2141,-0.0607493
6,10,6,0.00875,2141,-0.0607493
7,10,7,0.01,2141,-0.0607493
8,11,0,0.01125,2141,-0.0607493
9,11,1,0.0125,2141,-0.0607493
10,11,2,0.01375,2141,-0.0607493
11,11,3,0.015,2141,-0.0607493
12,11,4,0.01625,2141,-0.0607493
13,11,5,0.0175,2141,-0.0607493
14,11,6,0.01875,2141,-0.0607493
15,11,7,0.02,2141,-0.0607493
16,12,0,0.02125,2140,-0.0519958
17,12,1,0.0225,2140,-0.0519958
18,12,2,0.02375,2140,-0.0519958
19,12,3,0.025,2141,-0.0607493
20,12,4,0.02625,2141,-0.0607493
21,12,5,0.0275,2141,-0.0607493
22,12,6,0.02875,2141,-0.0607493
23,12,7,0.03,2141,-0.0607493
24,13,0,0.03125,2141,-0.0607493
25,13,1,0.0325,2141,-0.0607493
26,13,2,0.03375,2141,-0.0607493
27,13,3,0.035,2141,-0.0607493
28,13,4,0.03625,2141,-0.0607493
29,13,5,0.0375,2141,-0.0607493
30,13,6,0.03875,2141,-0.0607493
31,13,7,0.04,2141,-0.0607493
32,14,0,0.04125,2141,-0.0607493
33,14,1,0.0425,2141,-0.0607493
34,14,2,0.04375,2141,-0.0607493
35,14,3,0.045,2141,-0.0607493
36,14,4,0.04625,2140,-0.0519958
37,14,5,0.0475,2141,-0.0607493
38,14,6,0.04875,2141,-0.0607493
39,14,7,0.05,2141,-0.0607493
40,15,0,0.05125,2141,-0.0607493
41,15,1,0.0525,2141,-0.0607493
42,15,2,0.05375,2140,-0.0519958
43,15,3,0.055,2141,-0.0607493
44,15,4,0.05625,2140,-0.0519958
45,15,5,0.0575,2140,-0.0519958
46,15,6,0.05875,2140,-0.0519958
47,15,7,0.06,2140,-0.0519958
48,16,0,0.06125,2140,-0.0519958
49,16,1,0.0625,2141,-0.0607493
50,16,2,0.06375,2140,-0.0519958
51,16,3,0.065,2141,-0.0607493
52,16,4,0.06625,2140,-0.0519958
53,16,5,0.0675,2141,-0.0607493
54,16,6,0.06875,2141,-0.0607493
55,16,7,0.07,2141,-0.0607493
56,17,0,0.07125,2140,-0.0519958
57,17,1,0.0725,2141,-0.0607493
58,17,2,0.07375,2140,-0.0519958
59,17,3,0.075,2141,-0.0607493
60,17,4,0.07625,2141,-0.0607493
61,17,5,0.0775,2141,-0.0607493
62,17,6,0.07875,2140,-0.0519958
63,17,7,0.08,2141,-0.0607493
64,18,0,0.08125,2140,-0.0519958
65,18,1,0.0825,2141,-0.0607493
66,18,2,0.08375,2140,-0.0519958
67,18,3,0.085,2141,-0.0607493
68,18,4,0.08625,2140,-0.0519958
69,18,5,0.0875,2141,-0.0607493
70,18,6,0.08875,2140,-0.0519958
71,18,7,0.09,2141,-0.0607493
72,19,0,0.09125,2141,-0.0607493
73,19,1,0.0925,2141,-0.0607493
74,19,2,0.09375,2141,-0.0607493
75,19,3,0.095,2141,-0.0607493
76,19,4,0.09625,2140,-0.0519958
77,19,5,0.0975,2140,-0.0519958
78,19,6,0.09875,2140,-0.0519958
79,19,7,0.1,2141,-0.0607493
80,20,0,0.10125,2141,-0.0607493
81,20,1,0.1025,2141,-0.0607493
82,20,2,0.10375,2141,-0.0607493
83,20,3,0.105,2141,-0.0607493
84,20,4,0.10625,2140,-0.0519958
85,20,5,0.1075,2140,-0.0519958
86,20,6,0.10875,2140,-0.0519958
87,20,7,0.11,2142,-0.0695028
88,21,0,0.11125,2140,-0.0519958
89,21,1,0.1125,2141,-0.0607493
90,21,2,0.11375,2141,-0.0607493
91,21,3,0.115,2141,-0.0607493
92,21,4,0.11625,2140,-0.0519958
93,21,5,0.1175,2141,-0.0607493
94,21,6,0.11875,2141,-0.0607493
95,21,7,0.12,2141,-0.0607493
96,22,0,0.12125,2141,-0.0607493
97,22,1,0.1225,2141,-0.0607493
98,22,2,0.12375,2141,-0.0607493
99,22,3,0.125,2141,-0.0607493
100,22,4,0.12625,2141,-0.0607493
101,22,5,0.1275,2141,-0.0607493
102,22,6,0.12875,2140,-0.0519958
103,22,7,0.13,2141,-0.0607493
104,23,0,0.13125,2140,-0.0519958
105,23,1,0.1325,2141,-0.0607493
106,23,2,0.13375,2141,-0.0607493
107,23,3,0.135,2141,-0.0607493
108,23,4,0.13625,2140,-0.0519958
109,23,5,0.1375,2141,-0.0607493
110,23,6,0.13875,2140,-0.0519958
111,23,7,0.14,2141,-0.0607493
112,24,0,0.14125,2140,-0.0519958
113,24,1,0.1425,2141,-0.0607493
114,24,2,0.14375,2140,-0.0519958
115,24,3,0.145,2141,-0.0607493
116,24,4,0.14625,2140,-0.0519958
117,24,5,0.1475,2141,-0.0607493
118,24,6,0.14875,2140,-0.0519958
119,24,7,0.15,2141,-0.0607493
120,25,0,0.15125,2141,-0.0607493
121,25,1,0.1525,2141,-0.0607493
122,25,2,0.15375,2140,-0.0519958
123,25,3,0.155,2141,-0.0607493
124,25,4,0.15625,2140,-0.0519958
125,25,5,0.1575,2140,-0.0519958
126,25,6,0.15875,2140,-0.0519958
127,25,7,0.16,2141,-0.0607493
128,26,0,0.16125,2140,-0.0519958
129,26,1,0.1625,2141,-0.0607493
130,26,2,0.16375,2141,-0.0607493
131,26,3,0.165,2141,-0.0607493
132,26,4,0.16625,2141,-0.0607493
133,26,5,0.1675,2141,-0.0607493
134,26,6,0.16875,2140,-0.0519958
135,26,7,0.17,2141,-0.0607493
136,27,0,0.17125,2140,-0.0519958
137,27,1,0.1725,2140,-0.0519958
138,27,2,0.17375,2140,-0.0519958
139,27,3,0.175,2141,-0.0607493
140,27,4,0.17625,2141,-0.0607493
141,27,5,0.1775,2141,-0.0607493
142,27,6,0.17875,2141,-0.0607493
143,27,7,0.18,2141,-0.0607493
144,28,0,0.18125,2141,-0.0607493
145,28,1,0.1825,2141,-0.0607493
146,28,2,0.18375,2140,-0.0519958
147,28,3,0.185,2141,-0.0607493
148,28,4,0.18625,2141,-0.0607493
149,28,5,0.1875,2141,-0.0607493
150,28,6,0.18875,2140,-0.0519958
151,28,7,0.19,2141,-0.0607493
152,29,0,0.19125,2141,-0.0607493
153,29,1,0.1925,2141,-0.0607493
154,29,2,0.19375,2140,-0.0519958
155,29,3,0.195,2141,-0.0607493
156,29,4,0.19625,2140,-0.0519958
157,29,5,0.1975,2141,-0.0607493
158,29,6,0.19875,2140,-0.0519958
159,29,7,0.2,2141,-0.0607493
160,30,0,0.20125,2140,-0.0519958
161,30,1,0.2025,2141,-0.0607493
162,30,2,0.20375,2141,-0.0607493
163,30,3,0.205,2141,-0.0607493
164,30,4,0.20625,2141,-0.0607493
165,30,5,0.2075,2141,-0.0607493
166,30,6,0.20875,2141,-0.0607493
167,30,7,0.21,2141,-0.0607493
168,31,0,0.21125,2141,-0.0607493
169,31,1,0.2125,2141,-0.0607493
170,31,2,0.21375,2140,-0.0519958
171,31,3,0.215,2142,-0.0695028
172,31,4,0.21625,2141,-0.0607493
173,31,5,0.2175,2141,-0.0607493
174,31,6,0.21875,2141,-0.0607493
175,31,7,0.22,2141,-0.0607493
176,32,0,0.22125,2141,-0.0607493
177,32,1,0.2225,2141,-0.0607493
178,32,2,0.22375,2140,-0.0519958
179,32,3,0.225,2141,-0.0607493
180,32,4,0.22625,2141,-0.0607493
181,32,5,0.2275,2141,-0.0607493
182,32,6,0.22875,2140,-0.0519958
183,32,7,0.23,2140,-0.0519958
184,33,0,0.23125,2141,-0.0607493
185,33,1,0.2325,2141,-0.0607493
186,33,2,0.23375,2140,-0.0519958
187,33,3,0.235,2141,-0.0607493
188,33,4,0.23625,2141,-0.0607493
189,33,5,0.2375,2141,-0.0607493
190,33,6,0.23875,2141,-0.0607493
191,33,7,0.24,2141,-0.0607493
192,34,0,0.24125,2141,-0.0607493
193,34,1,0.2425,2141,-0.0607493
194,34,2,0.24375,2141,-0.0607493
195,34,3,0.245,2141,-0.0607493
196,34,4,0.24625,2141,-0.0607493
197,34,5,0.2475,2142,-0.0695028
198,34,6,0.24875,2141,-0.0607493
199,34,7,0.25,2141,-0.0607493
200,35,0,0.25125,2141,-0.0607493
201,35,1,0.2525,2141,-0.0607493
202,35,2,0.25375,2141,-0.0607493
203,35,3,0.255,2141,-0.0607493
204,35,4,0.25625,2140,-0.0519958
205,35,5,0.2575,2141,-0.0607493
206,35,6,0.25875,2140,-0.0519958
207,35,7,0.26,2142,-0.0695028
208,36,0,0.26125,2141,-0.0607493
209,36,1,0.2625,2141,-0.0607493
210,36,2,0.26375,2140,-0.0519958
211,36,3,0.265,2141,-0.0607493
212,36,4,0.26625,2140,-0.0519958
213,36,5,0.2675,2141,-0.0607493
214,36,6,0.26875,2141,-0.0607493
215,36,7,0.27,2141,-0.0607493
216,37,0,0.27125,2141,-0.0607493
217,37,1,0.2725,2141,-0.0607493
218,37,2,0.27375,2140,-0.0519958
219,37,3,0.275,2140,-0.0519958
220,37,4,0.27625,2141,-0.0607493
221,37,5,0.2775,2141,-0.0607493
222,37,6,0.27875,2140,-0.0519958
223,37,7,0.28,2141,-0.0607493
224,38,0,0.28125,2140,-0.0519958
225,38,1,0.2825,2141,-0.0607493
226,38,2,0.28375,2141,-0.0607493
227,38,3,0.285,2141,-0.0607493
228,38,4,0.28625,2141,-0.0607493
229,38,5,0.2875,2141,-0.0607493
230,38,6,0.28875,2141,-0.0607493
231,38,7,0.29,2141,-0.0607493
232,39,0,0.29125,2140,-0.0519958
233,39,1,0.2925,2141,-0.0607493
234,39,2,0.29375,2141,-0.0607493
235,39,3,0.295,2141,-0.0607493
236,39,4,0.29625,2141,-0.0607493
237,39,5,0.2975,2141,-0.0607493
238,39,6,0.29875,2140,-0.0519958
239,39,7,0.3,2141,-0.0607493
240,40,0,0.30125,2141,-0.0607493
241,40,1,0.3025,2142,-0.0695028
242,40,2,0.30375,2141,-0.0607493
243,40,3,0.305,2141,-0.0607493
244,40,4,0.30625,2141,-0.0607493
245,40,5,0.3075,2141,-0.0607493
246,40,6,0.30875,2141,-0.0607493
247,40,7,0.31,2141,-0.0607493
248,41,0,0.31125,2141,-0.0607493
249,41,1,0.3125,2141,-0.0607493
250,41,2,0.31375,2141,-0.0607493
251,41,3,0.315,2141,-0.0607493
252,41,4,0.31625,2141,-0.0607493
253,41,5,0.3175,2141,-0.0607493
254,41,6,0.31875,2141,-0.0607493
255,41,7,0.32,2141,-0.0607493
256,42,0,0.32125,2141,-0.0607493
257,42,1,0.3225,2141,-0.0607493
258,42,2,0.32375,2141,-0.0607493
259,42,3,0.325,2142,-0.0695028
260,42,4,0.32625,2141,-0.0607493
261,42,5,0.3275,2141,-0.0607493
262,42,6,0.32875,2141,-0.0607493
263,42,7,0.33,2141,-0.0607493
264,43,0,0.33125,2141,-0.0607493
265,43,1,0.3325,2141,-0.0607493
266,43,2,0.33375,2141,-0.0607493
267,43,3,0.335,2141,-0.0607493
268,43,4,0.33625,2141,-0.0607493
269,43,5,0.3375,2141,-0.0607493
270,43,6,0.33875,2141,-0.0607493
271,43,7,0.34,2141,-0.0607493
272,44,0,0.34125,2141,-0.0607493
273,44,1,0.3425,2142,-0.0695028
