index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00125471,2134,0.000525189
1,10,1,0.00250941,2135,-0.00822831
2,10,2,0.00376412,2134,0.000525189
3,10,3,0.00501882,2134,0.000525189
4,10,4,0.00627353,2134,0.000525189
5,10,5,0.00752823,2134,0.000525189
6,10,6,0.00878294,2134,0.000525189
7,10,7,0.0100376,2134,0.000525189
8,10,8,0.0112923,2133,0.00927869
9,10,9,0.0125471,2134,0.000525189
10,10,10,0.0138018,2133,0.00927869
11,10,11,0.0150565,2133,0.00927869
12,11,0,0.0163112,2134,0.000525189
13,11,1,0.0175659,2135,-0.00822831
14,11,2,0.0188206,2134,0.000525189
15,11,3,0.0200753,2134,0.000525189
16,11,4,0.02133,2134,0.000525189
17,11,5,0.0225847,2134,0.000525189
18,11,6,0.0238394,2134,0.000525189
19,11,7,0.0250941,2134,0.000525189
20,11,8,0.0263488,2133,0.00927869
21,11,9,0.0276035,2134,0.000525189
22,11,10,0.0288582,2133,0.00927869
23,11,11,0.0301129,2133,0.00927869
24,12,0,0.0313676,2134,0.000525189
25,12,1,0.0326223,2134,0.000525189
26,12,2,0.033877,2134,0.000525189
27,12,3,0.0351317,2134,0.000525189
28,13,0,0.0363864,2134,0.000525189
29,13,1,0.0376412,2134,0.000525189
30,13,2,0.0388959,2134,0.000525189
31,13,3,0.0401506,2134,0.000525189
32,13,4,0.0414053,2134,0.000525189
33,13,5,0.04266,2134,0.000525189
34,13,6,0.0439147,2133,0.00927869
35,13,7,0.0451694,2133,0.00927869
36,14,0,0.0464241,2134,0.000525189
37,14,1,0.0476788,2134,0.000525189
38,14,2,0.0489335,2133,0.00927869
39,14,3,0.0501882,2133,0.00927869
40,14,4,0.0514429,2133,0.00927869
41,14,5,0.0526976,2133,0.00927869
42,14,6,0.0539523,2132,0.0180322
43,14,7,0.055207,2133,0.00927869
44,14,8,0.0564617,2132,0.0180322
45,14,9,0.0577164,2132,0.0180322
46,15,0,0.0589711,2132,0.0180322
47,15,1,0.0602258,2132,0.0180322
48,15,2,0.0614806,2132,0.0180322
49,15,3,0.0627353,2132,0.0180322
50,15,4,0.06399,2131,0.0267857
51,15,5,0.0652447,2132,0.0180322
52,16,0,0.0664994,2132,0.0180322
53,16,1,0.0677541,2132,0.0180322
54,16,2,0.0690088,2132,0.0180322
55,16,3,0.0702635,2132,0.0180322
56,16,4,0.0715182,2132,0.0180322
57,16,5,0.0727729,2132,0.0180322
58,16,6,0.0740276,2132,0.0180322
59,16,7,0.0752823,2132,0.0180322
60,17,0,0.076537,2132,0.0180322
61,17,1,0.0777917,2132,0.0180322
62,17,2,0.0790464,2131,0.0267857
63,17,3,0.0803011,2132,0.0180322
64,17,4,0.0815558,2132,0.0180322
65,17,5,0.0828105,2133,0.00927869
66,17,6,0.0840652,2133,0.00927869
67,17,7,0.0853199,2132,0.0180322
68,18,0,0.0865747,2133,0.00927869
69,18,1,0.0878294,2133,0.00927869
70,18,2,0.0890841,2133,0.00927869
71,18,3,0.0903388,2133,0.00927869
72,18,4,0.0915935,2133,0.00927869
73,18,5,0.0928482,2133,0.00927869
74,18,6,0.0941029,2133,0.00927869
75,18,7,0.0953576,2134,0.000525189
76,19,0,0.0966123,2133,0.00927869
77,19,1,0.097867,2133,0.00927869
78,19,2,0.0991217,2133,0.00927869
79,19,3,0.100376,2134,0.000525189
80,19,4,0.101631,2133,0.00927869
81,19,5,0.102886,2133,0.00927869
82,19,6,0.104141,2132,0.0180322
83,19,7,0.105395,2133,0.00927869
84,20,0,0.10665,2133,0.00927869
85,20,1,0.107905,2133,0.00927869
86,20,2,0.109159,2132,0.0180322
87,20,3,0.110414,2133,0.00927869
88,20,4,0.111669,2133,0.00927869
89,20,5,0.112923,2133,0.00927869
90,20,6,0.114178,2133,0.00927869
91,20,7,0.115433,2133,0.00927869
92,21,0,0.116688,2133,0.00927869
93,21,1,0.117942,2133,0.00927869
94,21,2,0.119197,2132,0.0180322
95,21,3,0.120452,2133,0.00927869
96,21,4,0.121706,2133,0.00927869
97,21,5,0.122961,2133,0.00927869
98,21,6,0.124216,2133,0.00927869
99,21,7,0.125471,2133,0.00927869
100,22,0,0.126725,2133,0.00927869
101,22,1,0.12798,2133,0.00927869
102,22,2,0.129235,2133,0.00927869
103,22,3,0.130489,2133,0.00927869
104,22,4,0.131744,2133,0.00927869
105,22,5,0.132999,2134,0.000525189
106,22,6,0.134253,2132,0.0180322
107,22,7,0.135508,2133,0.00927869
108,23,0,0.136763,2133,0.00927869
109,23,1,0.138018,2133,0.00927869
110,23,2,0.139272,2133,0.00927869
111,23,3,0.140527,2133,0.00927869
112,23,4,0.141782,2133,0.00927869
113,23,5,0.143036,2133,0.00927869
114,23,6,0.144291,2133,0.00927869
115,23,7,0.145546,2133,0.00927869
116,24,0,0.146801,2133,0.00927869
117,24,1,0.148055,2133,0.00927869
118,24,2,0.14931,2133,0.00927869
119,24,3,0.150565,2133,0.00927869
120,24,4,0.151819,2132,0.0180322
121,24,5,0.153074,2133,0.00927869
122,24,6,0.154329,2133,0.00927869
123,24,7,0.155583,2134,0.000525189
124,25,0,0.156838,2133,0.00927869
125,25,1,0.158093,2133,0.00927869
126,25,2,0.159348,2133,0.00927869
127,25,3,0.160602,2133,0.00927869
128,25,4,0.161857,2133,0.00927869
129,25,5,0.163112,2133,0.00927869
130,25,6,0.164366,2132,0.0180322
131,25,7,0.165621,2133,0.00927869
132,26,0,0.166876,2132,0.0180322
133,26,1,0.16813,2133,0.00927869
134,26,2,0.169385,2132,0.0180322
135,26,3,0.17064,2133,0.00927869
136,26,4,0.171895,2132,0.0180322
137,26,5,0.173149,2133,0.00927869
138,26,6,0.174404,2132,0.0180322
139,26,7,0.175659,2132,0.0180322
140,27,0,0.176913,2132,0.0180322
141,27,1,0.178168,2132,0.0180322
142,27,2,0.179423,2131,0.0267857
143,27,3,0.180678,2132,0.0180322
144,27,4,0.181932,2131,0.0267857
145,27,5,0.183187,2132,0.0180322
146,27,6,0.184442,2132,0.0180322
147,27,7,0.185696,2132,0.0180322
148,28,0,0.186951,2131,0.0267857
149,28,1,0.188206,2131,0.0267857
150,28,2,0.18946,2131,0.0267857
151,28,3,0.190715,2131,0.0267857
152,28,4,0.19197,2131,0.0267857
153,28,5,0.193225,2132,0.0180322
154,28,6,0.194479,2131,0.0267857
155,28,7,0.195734,2131,0.0267857
156,29,0,0.196989,2131,0.0267857
157,29,1,0.198243,2132,0.0180322
158,29,2,0.199498,2130,0.0355392
159,29,3,0.200753,2131,0.0267857
160,29,4,0.202008,2130,0.0355392
161,29,5,0.203262,2131,0.0267857
162,29,6,0.204517,2131,0.0267857
163,29,7,0.205772,2131,0.0267857
164,30,0,0.207026,2131,0.0267857
165,30,1,0.208281,2132,0.0180322
166,30,2,0.209536,2131,0.0267857
167,30,3,0.21079,2132,0.0180322
168,30,4,0.212045,2131,0.0267857
169,30,5,0.2133,2132,0.0180322
170,30,6,0.214555,2131,0.0267857
171,30,7,0.215809,2132,0.0180322
172,31,0,0.217064,2132,0.0180322
173,31,1,0.218319,2133,0.00927869
174,31,2,0.219573,2132,0.0180322
175,31,3,0.220828,2133,0.00927869
176,31,4,0.222083,2132,0.0180322
177,31,5,0.223338,2133,0.00927869
178,31,6,0.224592,2133,0.00927869
179,31,7,0.225847,2133,0.00927869
180,32,0,0.227102,2132,0.0180322
181,32,1,0.228356,2132,0.0180322
182,32,2,0.229611,2132,0.0180322
183,32,3,0.230866,2133,0.00927869
184,32,4,0.23212,2133,0.00927869
185,32,5,0.233375,2133,0.00927869
186,32,6,0.23463,2133,0.00927869
187,32,7,0.235885,2134,0.000525189
188,34,0,0.237139,2133,0.00927869
189,34,1,0.238394,2134,0.000525189
190,34,2,0.239649,2133,0.00927869
191,34,3,0.240903,2134,0.000525189
192,34,4,0.242158,2133,0.00927869
193,34,5,0.243413,2134,0.000525189
194,34,6,0.244668,2134,0.000525189
195,34,7,0.245922,2134,0.000525189
196,35,0,0.247177,2134,0.000525189
197,35,1,0.248432,2134,0.000525189
198,35,2,0.249686,2133,0.00927869
199,35,3,0.250941,2133,0.00927869
200,35,4,0.252196,2133,0.00927869
201,35,5,0.25345,2134,0.000525189
202,35,6,0.254705,2133,0.00927869
203,35,7,0.25596,2133,0.00927869
204,36,0,0.257215,2133,0.00927869
205,36,1,0.258469,2134,0.000525189
206,36,2,0.259724,2133,0.00927869
207,36,3,0.260979,2133,0.00927869
208,36,4,0.262233,2133,0.00927869
209,36,5,0.263488,2133,0.00927869
210,36,6,0.264743,2133,0.00927869
211,36,7,0.265997,2133,0.00927869
212,37,0,0.267252,2133,0.00927869
213,37,1,0.268507,2133,0.00927869
214,37,2,0.269762,2133,0.00927869
215,37,3,0.271016,2133,0.00927869
216,37,4,0.272271,2133,0.00927869
217,37,5,0.273526,2134,0.000525189
218,37,6,0.27478,2133,0.00927869
219,37,7,0.276035,2134,0.000525189
220,38,0,0.27729,2133,0.00927869
221,38,1,0.278545,2134,0.000525189
222,38,2,0.279799,2133,0.00927869
223,38,3,0.281054,2134,0.000525189
224,38,4,0.282309,2133,0.00927869
225,38,5,0.283563,2134,0.000525189
226,38,6,0.284818,2134,0.000525189
227,38,7,0.286073,2134,0.000525189
228,39,0,0.287327,2134,0.000525189
229,39,1,0.288582,2134,0.000525189
230,39,2,0.289837,2134,0.000525189
231,39,3,0.291092,2135,-0.00822831
232,39,4,0.292346,2135,-0.00822831
233,39,5,0.293601,2135,-0.00822831
234,39,6,0.294856,2134,0.000525189
235,39,7,0.29611,2135,-0.00822831
236,40,0,0.297365,2134,0.000525189
237,40,1,0.29862,2135,-0.00822831
238,40,2,0.299875,2134,0.000525189
239,40,3,0.301129,2135,-0.00822831
240,40,4,0.302384,2134,0.000525189
241,40,5,0.303639,2135,-0.00822831
242,40,6,0.304893,2134,0.000525189
243,40,7,0.306148,2134,0.000525189
244,41,0,0.307403,2134,0.000525189
245,41,1,0.308657,2135,-0.00822831
246,41,2,0.309912,2134,0.000525189
247,41,3,0.311167,2134,0.000525189
248,41,4,0.312422,2134,0.000525189
249,41,5,0.313676,2134,0.000525189
250,41,6,0.314931,2134,0.000525189
251,41,7,0.316186,2133,0.00927869
252,42,0,0.31744,2133,0.00927869
253,42,1,0.318695,2134,0.000525189
254,42,2,0.31995,2132,0.0180322
255,42,3,0.321205,2133,0.00927869
256,42,4,0.322459,2132,0.0180322
257,42,5,0.323714,2133,0.00927869
258,42,6,0.324969,2132,0.0180322
259,42,7,0.326223,2132,0.0180322
260,43,0,0.327478,2131,0.0267857
261,43,1,0.328733,2132,0.0180322
262,43,2,0.329987,2131,0.0267857
263,43,3,0.331242,2131,0.0267857
264,43,4,0.332497,2131,0.0267857
265,43,5,0.333752,2131,0.0267857
266,43,6,0.335006,2130,0.0355392
267,43,7,0.336261,2130,0.0355392
268,44,0,0.337516,2130,0.0355392
269,44,1,0.33877,2131,0.0267857
270,44,2,0.340025,2129,0.0442927
271,44,3,0.34128,2130,0.0355392
272,44,4,0.342535,2129,0.0442927
273,44,5,0.343789,2129,0.0442927
274,44,6,0.345044,2128,0.0530462
275,44,7,0.346299,2129,0.0442927
276,45,0,0.347553,2129,0.0442927
277,45,1,0.348808,2129,0.0442927
278,45,2,0.350063,2128,0.0530462
279,45,3,0.351317,2129,0.0442927
280,45,4,0.352572,2129,0.0442927
281,45,5,0.353827,2129,0.0442927
282,45,6,0.355082,2128,0.0530462
283,45,7,0.356336,2128,0.0530462
284,46,0,0.357591,2129,0.0442927
