index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00124818,2106,0.245623
1,10,1,0.00249635,2106,0.245623
2,10,2,0.00374453,2105,0.254377
3,10,3,0.0049927,2105,0.254377
4,10,4,0.00624088,2105,0.254377
5,10,5,0.00748905,2104,0.26313
6,10,6,0.00873723,2104,0.26313
7,10,7,0.0099854,2105,0.254377
8,10,8,0.0112336,2104,0.26313
9,10,9,0.0124818,2105,0.254377
10,10,10,0.0137299,2104,0.26313
11,10,11,0.0149781,2104,0.26313
12,11,0,0.0162263,2106,0.245623
13,11,1,0.0174745,2106,0.245623
14,11,2,0.0187226,2105,0.254377
15,11,3,0.0199708,2105,0.254377
16,11,4,0.021219,2105,0.254377
17,11,5,0.0224672,2104,0.26313
18,11,6,0.0237153,2104,0.26313
19,11,7,0.0249635,2105,0.254377
20,11,8,0.0262117,2104,0.26313
21,11,9,0.0274599,2105,0.254377
22,11,10,0.028708,2104,0.26313
23,11,11,0.0299562,2104,0.26313
24,12,0,0.0312044,2097,0.324405
25,12,1,0.0324526,2098,0.315651
26,13,0,0.0337007,2097,0.324405
27,13,1,0.0349489,2098,0.315651
28,13,2,0.0361971,2097,0.324405
29,13,3,0.0374453,2098,0.315651
30,13,4,0.0386934,2097,0.324405
31,13,5,0.0399416,2098,0.315651
32,13,6,0.0411898,2097,0.324405
33,13,7,0.042438,2098,0.315651
34,14,0,0.0436861,2097,0.324405
35,14,1,0.0449343,2097,0.324405
36,14,2,0.0461825,2096,0.333158
37,14,3,0.0474307,2097,0.324405
38,14,4,0.0486788,2097,0.324405
39,14,5,0.049927,2097,0.324405
40,14,6,0.0511752,2097,0.324405
41,14,7,0.0524234,2097,0.324405
42,15,0,0.0536715,2097,0.324405
43,15,1,0.0549197,2097,0.324405
44,15,2,0.0561679,2097,0.324405
45,15,3,0.0574161,2098,0.315651
46,15,4,0.0586642,2098,0.315651
47,15,5,0.0599124,2098,0.315651
48,15,6,0.0611606,2098,0.315651
49,15,7,0.0624088,2098,0.315651
50,16,0,0.0636569,2098,0.315651
51,16,1,0.0649051,2098,0.315651
52,16,2,0.0661533,2098,0.315651
53,16,3,0.0674015,2098,0.315651
54,16,4,0.0686496,2098,0.315651
55,16,5,0.0698978,2098,0.315651
56,16,6,0.071146,2098,0.315651
57,16,7,0.0723942,2098,0.315651
58,17,0,0.0736423,2098,0.315651
59,17,1,0.0748905,2098,0.315651
60,17,2,0.0761387,2098,0.315651
61,17,3,0.0773869,2098,0.315651
62,17,4,0.078635,2098,0.315651
63,17,5,0.0798832,2098,0.315651
64,17,6,0.0811314,2097,0.324405
65,17,7,0.0823796,2098,0.315651
66,18,0,0.0836277,2097,0.324405
67,18,1,0.0848759,2097,0.324405
68,18,2,0.0861241,2096,0.333158
69,18,3,0.0873723,2097,0.324405
70,18,4,0.0886204,2096,0.333158
71,18,5,0.0898686,2096,0.333158
72,18,6,0.0911168,2096,0.333158
73,18,7,0.092365,2096,0.333158
74,19,0,0.0936131,2095,0.341912
75,19,1,0.0948613,2095,0.341912
76,19,2,0.0961095,2094,0.350665
77,19,3,0.0973577,2094,0.350665
78,19,4,0.0986058,2094,0.350665
79,19,5,0.099854,2094,0.350665
80,19,6,0.101102,2093,0.359419
81,19,7,0.10235,2093,0.359419
82,20,0,0.103599,2092,0.368172
83,20,1,0.104847,2092,0.368172
84,20,2,0.106095,2091,0.376926
85,20,3,0.107343,2091,0.376926
86,20,4,0.108591,2090,0.385679
87,20,5,0.109839,2090,0.385679
88,20,6,0.111088,2089,0.394433
89,20,7,0.112336,2089,0.394433
90,21,0,0.113584,2088,0.403186
91,21,1,0.114832,2088,0.403186
92,21,2,0.11608,2087,0.41194
93,21,3,0.117328,2087,0.41194
94,21,4,0.118577,2086,0.420693
95,21,5,0.119825,2085,0.429447
96,21,6,0.121073,2084,0.4382
97,21,7,0.122321,2085,0.429447
98,22,0,0.123569,2084,0.4382
99,22,1,0.124818,2084,0.4382
100,22,2,0.126066,2082,0.455707
101,22,3,0.127314,2082,0.455707
102,22,4,0.128562,2081,0.464461
103,22,5,0.12981,2080,0.473214
104,22,6,0.131058,2079,0.481968
105,22,7,0.132307,2079,0.481968
106,23,0,0.133555,2078,0.490721
107,23,1,0.134803,2077,0.499475
108,23,2,0.136051,2076,0.508228
109,23,3,0.137299,2076,0.508228
110,23,4,0.138547,2074,0.525735
111,23,5,0.139796,2074,0.525735
112,23,6,0.141044,2073,0.534489
113,23,7,0.142292,2073,0.534489
114,24,0,0.14354,2072,0.543242
115,24,1,0.144788,2071,0.551996
116,24,2,0.146036,2071,0.551996
117,24,3,0.147285,2070,0.560749
118,24,4,0.148533,2069,0.569503
119,24,5,0.149781,2068,0.578256
120,24,6,0.151029,2067,0.58701
121,24,7,0.152277,2067,0.58701
122,25,0,0.153526,2066,0.595763
123,25,1,0.154774,2065,0.604517
124,25,2,0.156022,2064,0.61327
125,25,3,0.15727,2063,0.622024
126,25,4,0.158518,2062,0.630777
127,25,5,0.159766,2061,0.639531
