index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00125083,-112,-0.0750109,-136,-0.0314141,8196,9.88137
1,10,1,0.00250165,-96,-0.0561165,-128,-0.0218256,8192,9.87649
2,10,2,0.00375248,-72,-0.0277748,-168,-0.0697677,8156,9.83263
3,10,3,0.00500331,-64,-0.0183276,-128,-0.0218256,8152,9.82775
4,10,4,0.00625414,-40,0.0100141,-112,-0.0026488,8112,9.77902
5,10,5,0.00750496,-96,-0.0561165,-136,-0.0314141,8152,9.82775
6,10,6,0.00875579,-64,-0.0183276,-136,-0.0314141,8164,9.84238
7,10,7,0.0100066,-56,-0.00888039,-152,-0.0505909,8184,9.86675
8,10,8,0.0112574,-80,-0.037222,-176,-0.0793561,8148,9.82288
9,10,9,0.0125083,-156,-0.126971,-144,-0.0410025,8112,9.77902
10,10,10,0.0137591,-80,-0.037222,-152,-0.0505909,8152,9.82775
11,10,11,0.0150099,-104,-0.0655637,-144,-0.0410025,8128,9.79851
12,11,0,0.0162608,-112,-0.0750109,-136,-0.0314141,8196,9.88137
13,11,1,0.0175116,-96,-0.0561165,-128,-0.0218256,8192,9.87649
14,11,2,0.0187624,-72,-0.0277748,-168,-0.0697677,8156,9.83263
15,11,3,0.0200132,-64,-0.0183276,-128,-0.0218256,8152,9.82775
16,11,4,0.0212641,-40,0.0100141,-112,-0.0026488,8112,9.77902
17,11,5,0.0225149,-96,-0.0561165,-136,-0.0314141,8152,9.82775
18,11,6,0.0237657,-64,-0.0183276,-136,-0.0314141,8164,9.84238
19,11,7,0.0250165,-56,-0.00888039,-152,-0.0505909,8184,9.86675
20,11,8,0.0262674,-80,-0.037222,-176,-0.0793561,8148,9.82288
21,11,9,0.0275182,-156,-0.126971,-144,-0.0410025,8112,9.77902
22,11,10,0.028769,-80,-0.037222,-152,-0.0505909,8152,9.82775
23,11,11,0.0300199,-104,-0.0655637,-144,-0.0410025,8128,9.79851
24,12,0,0.0312707,-88,-0.0466693,-144,-0.0410025,8136,9.80826
25,12,1,0.0325215,-64,-0.0183276,-120,-0.0122372,8164,9.84238
26,13,0,0.0337723,-80,-0.037222,-144,-0.0410025,8172,9.85212
27,13,1,0.0350232,-88,-0.0466693,-96,0.016528,8100,9.76439
28,13,2,0.036274,-72,-0.0277748,-152,-0.0505909,8148,9.82288
29,13,3,0.0375248,-80,-0.037222,-152,-0.0505909,8148,9.82288
30,13,4,0.0387756,-40,0.0100141,-112,-0.0026488,8164,9.84238
31,13,5,0.0400265,-96,-0.0561165,-160,-0.0601793,8144,9.81801
32,13,6,0.0412773,-72,-0.0277748,-168,-0.0697677,8160,9.8375
33,13,7,0.0425281,-120,-0.0844581,-160,-0.0601793,8152,9.82775
34,14,0,0.043779,-80,-0.037222,-152,-0.0505909,8064,9.72053
35,14,1,0.0450298,-88,-0.0466693,-112,-0.0026488,8080,9.74002
36,14,2,0.0462806,-104,-0.0655637,-152,-0.0505909,8120,9.78876
37,14,3,0.0475314,-72,-0.0277748,-152,-0.0505909,8120,9.78876
38,14,4,0.0487823,-80,-0.037222,-168,-0.0697677,8128,9.79851
39,14,5,0.0500331,-96,-0.0561165,-136,-0.0314141,8136,9.80826
40,14,6,0.0512839,-88,-0.0466693,-128,-0.0218256,8148,9.82288
41,14,7,0.0525347,-104,-0.0655637,-176,-0.0793561,8144,9.81801
42,15,0,0.0537856,-96,-0.0561165,-144,-0.0410025,8164,9.84238
43,15,1,0.0550364,-96,-0.0561165,-160,-0.0601793,8164,9.84238
44,15,2,0.0562872,-72,-0.0277748,-152,-0.0505909,8124,9.79364
45,15,3,0.0575381,-72,-0.0277748,-112,-0.0026488,8164,9.84238
46,15,4,0.0587889,-136,-0.103353,-112,-0.0026488,8152,9.82775
47,15,5,0.0600397,-64,-0.0183276,-136,-0.0314141,8148,9.82288
48,15,6,0.0612905,-48,0.000566833,-136,-0.0314141,8140,9.81313
49,15,7,0.0625414,-64,-0.0183276,-152,-0.0505909,8152,9.82775
50,16,0,0.0637922,-120,-0.0844581,-104,0.00693962,8216,9.90574
51,16,1,0.065043,-88,-0.0466693,-136,-0.0314141,8164,9.84238
52,16,2,0.0662938,-112,-0.0750109,-152,-0.0505909,8144,9.81801
53,16,3,0.0675447,-88,-0.0466693,-160,-0.0601793,8136,9.80826
54,16,4,0.0687955,-112,-0.0750109,-152,-0.0505909,8120,9.78876
55,16,5,0.0700463,-112,-0.0750109,-128,-0.0218256,8112,9.77902
56,16,6,0.0712972,-88,-0.0466693,-152,-0.0505909,8152,9.82775
57,16,7,0.072548,-96,-0.0561165,-128,-0.0218256,8176,9.857
58,17,0,0.0737988,-96,-0.0561165,-144,-0.0410025,8160,9.8375
59,17,1,0.0750496,-96,-0.0561165,-152,-0.0505909,8148,9.82288
60,17,2,0.0763005,-56,-0.00888039,-168,-0.0697677,8136,9.80826
61,17,3,0.0775513,-96,-0.0561165,-152,-0.0505909,8152,9.82775
62,17,4,0.0788021,-80,-0.037222,-168,-0.0697677,8148,9.82288
63,17,5,0.0800529,-56,-0.00888039,-144,-0.0410025,8168,9.84725
64,17,6,0.0813038,-80,-0.037222,-168,-0.0697677,8120,9.78876
65,17,7,0.0825546,-64,-0.0183276,-160,-0.0601793,8164,9.84238
66,18,0,0.0838054,-88,-0.0466693,-136,-0.0314141,8128,9.79851
67,18,1,0.0850563,-104,-0.0655637,-136,-0.0314141,8160,9.8375
68,18,2,0.0863071,-88,-0.0466693,-152,-0.0505909,8176,9.857
69,18,3,0.0875579,-104,-0.0655637,-156,-0.0553851,8132,9.80338
70,18,4,0.0888087,-80,-0.037222,-152,-0.0505909,8104,9.76927
71,18,5,0.0900596,-120,-0.0844581,-160,-0.0601793,8176,9.857
72,18,6,0.0913104,-112,-0.0750109,-144,-0.0410025,8136,9.80826
73,18,7,0.0925612,-112,-0.0750109,-104,0.00693962,8120,9.78876
74,19,0,0.093812,-96,-0.0561165,-176,-0.0793561,8136,9.80826
75,19,1,0.0950629,-96,-0.0561165,-144,-0.0410025,8184,9.86675
76,19,2,0.0963137,-112,-0.0750109,-168,-0.0697677,8152,9.82775
77,19,3,0.0975645,-136,-0.103353,-128,-0.0218256,8120,9.78876
78,19,4,0.0988154,-132,-0.098629,-160,-0.0601793,8132,9.80338
79,19,5,0.100066,-132,-0.098629,-152,-0.0505909,8156,9.83263
80,19,6,0.101317,-140,-0.108076,-120,-0.0122372,8136,9.80826
81,19,7,0.102568,-104,-0.0655637,-152,-0.0505909,8164,9.84238
82,20,0,0.103819,-120,-0.0844581,-136,-0.0314141,8112,9.77902
83,20,1,0.105069,-140,-0.108076,-128,-0.0218256,8144,9.81801
84,20,2,0.10632,-104,-0.0655637,-128,-0.0218256,8168,9.84725
85,20,3,0.107571,-112,-0.0750109,-164,-0.0649735,8156,9.83263
86,20,4,0.108822,-88,-0.0466693,-148,-0.0457967,8140,9.81313
87,20,5,0.110073,-140,-0.108076,-136,-0.0314141,8112,9.77902
88,20,6,0.111324,-96,-0.0561165,-168,-0.0697677,8156,9.83263
89,20,7,0.112574,-128,-0.0939054,-168,-0.0697677,8188,9.87162
90,21,0,0.113825,-72,-0.0277748,-120,-0.0122372,8144,9.81801
91,21,1,0.115076,-112,-0.0750109,-176,-0.0793561,8112,9.77902
92,21,2,0.116327,-112,-0.0750109,-160,-0.0601793,8140,9.81313
93,21,3,0.117578,-72,-0.0277748,-136,-0.0314141,8136,9.80826
94,21,4,0.118829,-88,-0.0466693,-152,-0.0505909,8180,9.86187
95,21,5,0.120079,-88,-0.0466693,-136,-0.0314141,8144,9.81801
96,21,6,0.12133,-128,-0.0939054,-152,-0.0505909,8136,9.80826
97,21,7,0.122581,-80,-0.037222,-120,-0.0122372,8164,9.84238
98,22,0,0.123832,-120,-0.0844581,-136,-0.0314141,8200,9.88624
99,22,1,0.125083,-136,-0.103353,-128,-0.0218256,8136,9.80826
100,22,2,0.126334,-88,-0.0466693,-136,-0.0314141,8136,9.80826
101,22,3,0.127584,-96,-0.0561165,-112,-0.0026488,8088,9.74977
102,22,4,0.128835,-120,-0.0844581,-152,-0.0505909,8152,9.82775
103,22,5,0.130086,-88,-0.0466693,-160,-0.0601793,8148,9.82288
104,22,6,0.131337,-104,-0.0655637,-144,-0.0410025,8184,9.86675
105,22,7,0.132588,-96,-0.0561165,-88,0.0261165,8172,9.85212
106,23,0,0.133839,-96,-0.0561165,-128,-0.0218256,8156,9.83263
107,23,1,0.135089,-64,-0.0183276,-112,-0.0026488,8168,9.84725
108,23,2,0.13634,-80,-0.037222,-120,-0.0122372,8104,9.76927
109,23,3,0.137591,-148,-0.117523,-120,-0.0122372,8112,9.77902
110,23,4,0.138842,-104,-0.0655637,-136,-0.0314141,8172,9.85212
111,23,5,0.140093,-120,-0.0844581,-144,-0.0410025,8140,9.81313
112,23,6,0.141343,-136,-0.103353,-152,-0.0505909,8164,9.84238
113,23,7,0.142594,-96,-0.0561165,-168,-0.0697677,8156,9.83263
114,24,0,0.143845,-96,-0.0561165,-120,-0.0122372,8128,9.79851
115,24,1,0.145096,-136,-0.103353,-128,-0.0218256,8144,9.81801
116,24,2,0.146347,-96,-0.0561165,-144,-0.0410025,8120,9.78876
117,24,3,0.147598,-96,-0.0561165,-136,-0.0314141,8192,9.87649
118,24,4,0.148848,-104,-0.0655637,-176,-0.0793561,8168,9.84725
119,24,5,0.150099,-112,-0.0750109,-176,-0.0793561,8168,9.84725
120,24,6,0.15135,-80,-0.037222,-160,-0.0601793,8144,9.81801
